"USD #","District","County","Year","Students (FTE)","Classroom Teachers (CT)","Other Teachers","Managers","Other Non-Teachers","Total Employed","FTE Per CT","FTE Per Mgr"
"256","Marmaton Valley","Allen","2021","238","25","0","3","34.1","62.1","9.52","79.33333333"
"471","Dexter","Cowley","2021","237.4","16.60000038","0","3.5","31.7","51.80000038","14.30120449","67.82857143"
"459","Bucklin","Ford","2021","234.1","21","3","5.699999942","29.6","59.29999994","11.14761905","41.07017586"
"299","Sylvan Grove","Lincoln","2021","233","20","0","10.5","4.5","35","11.65","22.19047619"
"477","Ingalls","Gray","2021","232.5","20","0","4.1","23.5","47.6","11.625","56.70731707"
"479","Crest","Anderson","2021","232.1","19.40000153","2","6.2","12.90000003","40.50000156","11.96391658","37.43548387"
"360","Caldwell","Sumner","2021","231.3","21.29999924","0.699999988","6","20.5","48.49999923","10.85915532","38.55"
"482","Dighton","Lane","2021","227","18.59999895","1","6.4","31.7","57.69999895","12.20430176","35.46875"
"386","Madison-Virgil","Greenwood","2021","220","26.29999924","0","2.5","21.9","50.69999924","8.365019254","88"
"403","Otis-Bison","Rush","2021","220.7","21.10000038","0","5.6","15.9","42.60000038","10.45971545","39.41071429"
"241","Wallace County","Wallace","2021","208.5","17","1","4","32.5","54.5","12.26470588","52.125"
"456","Marais Des Cygnes Val","Osage","2021","208.5","19","0","6","18.5","43.5","10.97368421","34.75"
"384","Blue Valley","Riley","2021","207.5","28.5","0","3","22.5","54","7.280701754","69.16666667"
"398","Peabody-Burns","Marion","2021","207.6","24","1","5.00000006","20.5","50.50000006","8.65","41.51999951"
"255","South Barber","Barber","2021","206.1","22","1","8","16.5","47.5","9.368181818","25.7625"
"426","Pike Valley","Republic","2021","202","19.39999962","0","4.600000024","14.3","38.29999964","10.41237134","43.91304325"
"509","South Haven","Sumner","2021","198.6","21.80000019","1","4.400000006","14","41.2000002","9.110091663","45.13636358"
"371","Montezuma","Gray","2021","194.7","21.70000076","1","3.300000012","20.3","46.30000077","8.972349915","58.99999979"
"369","Burrton","Harvey","2021","193.5","21.79999924","0","6.5","17","45.29999924","8.8761471","29.76923077"
"220","Ashland","Clark","2021","187.1","20","2","7.5","21","50.5","9.355","24.94666667"
"351","Macksville","Stafford","2021","185","24","0","6","17","47","7.708333333","30.83333333"
"216","Deerfield","Kearny","2021","184.5","18","0","6.8","22.7","47.5","10.25","27.13235294"
"332","Cunningham","Kingman","2021","181.2","18.79999924","0","3","14.9","36.69999924","9.638298263","60.4"
"110","Thunder Ridge","Phillips","2021","178","20.70000076","0","8","21","49.70000076","8.599033499","22.25"
"245","LeRoy-Gridley","Coffey","2021","169.5","18.60000038","0","2.5","11","32.10000038","9.112903039","67.8"
"316","Golden Plains","Thomas","2021","167.2","19.69999975","2","1.299999994","21.10000014","44.09999989","8.487309753","128.6153852"
"387","Altoona-Midway","Wilson","2021","163.5","21.5","1","4.7","18.7","45.9","7.604651163","34.78723404"
"334","Southern Cloud","Cloud","2021","162.4","25","0","2","17.39999998","44.39999998","6.496","81.2"
"511","Attica","Harper","2021","161.5","19","1","5.5","13.5","39","8.5","29.36363636"
"359","Argonia","Sumner","2021","160.9","17.5","1","4","12.2","34.7","9.194285714","40.225"
"401","Chase-Raymond","Rice","2021","149","18.80000001","0","4.000000012","13.30000001","36.10000003","7.92553191","37.24999989"
"103","Cheylin","Cheyenne","2021","144","13.50000036","0.800000012","3.7","8.900000001","26.90000037","10.66666638","38.91891892"
"285","Cedar Vale","Chautauqua","2021","136.5","15.49999964","0","4.3","8.000000012","27.79999965","8.806451816","31.74418605"
"496","Pawnee Heights","Pawnee","2021","136.5","18","0","5.2","8.9","32.1","7.583333333","26.25"
"314","Brewster","Thomas","2021","133","16.30000079","0.900000036","2.100000024","24.80000001","44.10000086","8.159508809","63.33333261"
"326","Logan","Phillips","2021","133.1","19","0","4","7.9","30.9","7.005263158","33.275"
"209","Moscow","Stevens","2021","131","16.09999886","0","4","16.70000001","36.79999887","8.136646538","32.75"
"212","Northern Valley","Norton","2021","122.7","18.00000072","0","3.2","16.2","37.40000072","6.816666396","38.34375"
"225","Fowler","Meade","2021","119","15","0","5","3.7","23.7","7.933333333","23.8"
"283","Elk Valley","Elk","2021","111.8","10.5","0","3","7.700000003","21.2","10.64761905","37.26666667"
"217","Rolla","Morton","2021","110.4","11.10000038","1","3.5","9.000000012","24.60000039","9.945945604","31.54285714"
"106","Western Plains","Ness","2021","106","15.29999924","1","2.199999952","11.5","29.99999919","6.928104921","48.18181923"
"502","Lewis","Edwards","2021","106","9.499999821","0","1.50000003","10.5","21.49999985","11.15789495","70.66666526"
"292","Wheatland","Gove","2021","105","14.90000021","0","3.7","14.30000001","32.90000023","7.046979764","28.37837838"
"242","Weskan","Wallace","2021","102.5","14.2","1","4.200000003","4.800000015","24.20000002","7.218309858","24.40476189"
"476","Copeland","Gray","2021","102.2","10.5","0","2.000000003","9.7","22.2","9.733333333","51.09999992"
"399","Paradise","Russell","2021","100","16.19999921","0","1.00000006","9.3","26.49999927","6.172839806","99.99999404"
"474","Haviland","Kiowa","2021","99.8","10.39999962","0","3","9.300000015","22.69999963","9.596154198","33.26666667"
"269","Palco","Rooks","2021","87.5","2","0","1.600000003","29.3","32.90000001","43.75","54.6874999"
"291","Grinnell","Gove","2021","69","10.5","0","3.200000003","6.000000003","19.70000001","6.571428571","21.56249998"
"275","Triplains","Logan","2021","66","11.7","0","1.8","10.50000002","24.00000003","5.64102564","36.66666667"
"390","Hamilton","Greenwood","2021","55.5","11.69999984","0","4.300000012","6.400000012","22.39999986","4.743589809","12.90697671"
"468","Healy","Lane","2021","41.7","8.400000304","1","1.300000024","6.4","17.10000033","4.964285535","32.07692249"
